Title,Author,Original Language,First Published,Approximate Sales,Genre
The Ginger Man,J. P. Donleavy,English,1955,50 million[55],Novel
The Purpose Driven Life,Rick Warren,English,2002,50 million[56],Philosophical Manual
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million[57],Children's literature
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million[58],"Novella, self-help"
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million[59],"Children's literature, picture book"
A Message to Garcia,Elbert Hubbard,English,1899,40 million[47],Essay/literature
To Kill a Mockingbird,Harper Lee,English,1960,40 million[60],"Southern Gothic, Bildungsroman"
Flowers in the Attic,V. C. Andrews,English,1979,40 million[61],"Gothic horror, family saga"
Cosmos,Carl Sagan,English,1980,40 million[62],"Popular science, anthropology, astrophysics, cosmology, philosophy, history"
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40 million[63],"Philosophical novel, Young adult"
Angels & Demons,Dan Brown,English,2000,39 million[64],mystery-thriller
Alcoholics Anonymous,William Griffith Wilson,English,1939,over 37 million[65],Self-help
Kane and Abel,Jeffrey Archer,English,1979,37 million[66],Novel
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR[67],Socialist realist novel
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36 million copies in Russia[67],Historical novel
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35 million[68][69][better source needed],"Fantasy, children's fiction"
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35 million[70],"Historical non-fiction, autobiography, memoir, bildungsroman / coming of age, Jewish literature"
Your Erroneous Zones,Wayne Dyer,English,1976,35 million[71][72],Self-help
The Thorn Birds,Colleen McCullough,English,1977,33 million[73],Romantic family saga
The Kite Runner,Khaled Hosseini,English,2003,31.5 million[74],"Bildungsroman, historical fiction"
Valley of the Dolls,Jacqueline Susann,English,1966,31 million[75],Novel
How to Win Friends and Influence People,Dale Carnegie,English,1936,Over 30 million[76][77],Self-help
The Great Gatsby,F. Scott Fitzgerald,English,1925,"30 million (""around"")[78]","Novel, tragedy"
Gone with the Wind,Margaret Mitchell,English,1936,30 million (est.)[79],Historical fiction
Rebecca,Daphne du Maurier,English,1938,30 million (est.)[80],Gothic novel
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30 million[81],Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30 million[82],Fiction
The Lost Symbol,Dan Brown,English,2009,30 million[83],Fiction
The Hunger Games,Suzanne Collins,English,2008,29 million in US[84],Young adult fiction
James and the Giant Peach,Roald Dahl,English,1961,28 million[85],Children's novel
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR[67],Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,English,1998,28[86] – 30[87] million,"Self-help, motivational, business fable, psychology, leadership, parable"
A Brief History of Time,Stephen Hawking,English,1988,25 million[88],Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million[89],Novel
Lust for Life,Irving Stone,English,1934,25 million[90],Biographical novel
The Wind in the Willows,Kenneth Grahame,English,1908,25 million[91],Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million[92],Self-help
Totto-Chan: The Little Girl at the Window (窓ぎわのトットちゃん),Tetsuko Kuroyanagi,Japanese,1981,25 million [93],Autobiographical novel
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24 million copies in USSR[67],Novel
The Celestine Prophecy,James Redfield,English,1993,23 million[94],New-age spiritual novel
The Fault in Our Stars,John Green,English,2012,23 million[95],Young adult romantic novel
The Girl on the Train,Paula Hawkins,English,2015,23 million[96],Thriller
The Shack,William P. Young,English,2007,22.5 million[97],Novel
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21 million copies in USSR[67],"Children's Literature, picture book"
The Godfather,Mario Puzo,English,1969,21 million[98],Crime novel
Love Story,Erich Segal,English,1970,21 million[99],Romance novel
Catching Fire,Suzanne Collins,English,2009,21 million in US[84],"Young adult novel, adventure, dystopian, science fiction"
Mockingjay,Suzanne Collins,English,2010,20 million in US[84],"Young Adult novel, adventure, war, science fiction, action thriller"
Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20 million[100],Japanese novel
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20 million[101],Science fiction novel
Gone Girl,Gillian Flynn,English,2012,20 million[102],Crime thriller novel
The Bermuda Triangle,Charles Berlitz,English,1974,20 million[103],
Things Fall Apart,Chinua Achebe,English,1958,20 million[104],Novel
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 million[105],Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million[106],Memoir
Jaws,Peter Benchley,English,1974,20 million[107],Thriller
Love You Forever,Robert Munsch,English,1986,20 million[108],"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,English,1977,20 million[109],Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million[110],Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million[111],"Picaresque novel, Bildungsroman, satire, Robinsonade"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million[112],Young adult novel
Pride and Prejudice,Jane Austen,English,1813,20 million[113][114],"Classic regency novel, romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million[115],Travel literature
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed)[116],Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,English,1963,20 million[117],Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million[118],Self-help
The Secret,Rhonda Byrne,English,2006,20 million[119],Self-help
Fear of Flying,Erica Jong,English,1973,20 million[120],Romantic novel
Dune,Frank Herbert,English,1965,20 million[121],Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million[122],Children's fantasy novel
The Naked Ape,Desmond Morris,English,1968,20 million[123],"Social Science, Anthropology, Psychology"
Kokoro (こゝろ),Natsume Sōseki,Japanese,1914,20 million (as of 1994)[124],Novel
Where the Crawdads Sing,Delia Owens,English,2018,18 million[125],"Coming-of-age, murder mystery"
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,18 million[126],"Sentimental, epistolary novel"
Matilda,Roald Dahl,English,1988,17 million[127],Children's literature
The Book Thief,Markus Zusak,English,2005,16 million[128],Young adult fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[129],
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[130],Children's literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[131],Children's literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[132],"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[133],Erotica
The Outsiders,S. E. Hinton,English,1967,15 million[134],
Guess How Much I Love You,Sam McBratney,English,1994,15 million[135],
Shōgun,James Clavell,English,1975,15 million[136],
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[137],
The Pillars of the Earth,Ken Follett,English,1989,15 million[138],Historical fiction
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[139],
The Grapes of Wrath,John Steinbeck,English,1939,15 million[140],
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[141],
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[142],
Becoming,Michelle Obama,English,2018,14 million[143],
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[144],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[145],
God's Little Acre,Erskine Caldwell,English,1933,14 million[146],
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[147],
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[148],
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[67],
Life After Life,Raymond Moody,English,1975,13 million[149],
Momo,Michael Ende,German,1973,13 million[150],Children's literature
Peyton Place,Grace Metalious,English,1956,12.1 million[151],
The Giver,Lois Lowry,English,1993,12 million[152][153],Dystopian fiction
Me Before You,Jojo Moyes,English,2012,12 million[154],
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million[155],
The Plague (La Peste),Albert Camus,French,1947,12 million[156],
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 million[157],
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[158],
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11–12 million(during the 20th century)[159],
The Prophet,Kahlil Gibran,English,1923,11 million[160],
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million[161],
The Exorcist,William Peter Blatty,English,1971,11 million[162],Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million[163],"Children's literature, picture book"
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.[133],Erotica
Tobacco Road,Erskine Caldwell,English,1932,10 million[164],
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million[165],
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[166],"Children's literature, picture book"
Diana: Her True Story,Andrew Morton,English,1992,10 million[167],
The Help,Kathryn Stockett,English,2009,10 million[168],
Catch-22,Joseph Heller,English,1961,10 million[169],
The Stranger (L'Étranger),Albert Camus,French,1942,10 million[170],
Eye of the Needle,Ken Follett,English,1978,10 million[171],
The Lovely Bones,Alice Sebold,English,2002,10 million[172],
Wild Swans,Jung Chang,English,1992,10 million[173],
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[174],
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[175],
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million[176],
The Total Woman,Marabel Morgan,English,1974,10 million[177],
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million[178],
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million[179],
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[180],
The Dukan Diet,Pierre Dukan,French,2000,10 million[181],
The Joy of Sex,Alex Comfort,English,1972,10 million[182],
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[183],
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million[184],
Life of Pi,Yann Martel,English,2001,10 million[185],
The Front Runner,Patricia Nell Warren,English,1974,10 million[186],
The Goal,Eliyahu M. Goldratt,English,1984,10 million[187],
Fahrenheit 451,Ray Bradbury,English,1953,10 million[188],
Angela's Ashes,Frank McCourt,English,1996,10 million[189],
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million[190],
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005)[191],
It Ends with Us,Colleen Hoover,English,2016,10 million[192],"Romance, Fiction"
Harry Potter,J. K. Rowling,English,7 + 3 companion books + 4 scripts,1997–2007,600 million[14][193][194]
Goosebumps,R. L. Stine,English,62 + spin-off series,1992–present,400 million[195]
Perry Mason,Erle Stanley Gardner,English,82 + 4 short stories,1933–1973,300 million[196]
Diary of a Wimpy Kid,Jeff Kinney,English,19 + 5 spin-offs,2007–present,290 million[197]
Berenstain Bears,Stan and Jan Berenstain,English,428,1962–present,260 million[198]
Choose Your Own Adventure,Various authors,English,185+,1979–present,250 million[199]
Sweet Valley High,Francine Pascal and ghostwriters,English,400,1983–2003,250 million[200]
The Railway Series,"Rev. W. Awdry, Christopher Awdry",English,42,1945–2011,201 million[201]
Noddy,Enid Blyton,English,24,1949–present,200 million[202]
Nancy Drew,Various authors as Carolyn Keene,English,175,1930–present,200 million[203]
San-Antonio,Frédéric Dard,French,173,1949–2001,200 million[204]
Robert Langdon,Dan Brown,English,5,2000–present,200 million[205]
Geronimo Stilton,Elisabetta Dami,Italian,200+,1997–present,180 million[206]
Percy Jackson & the Olympians,Rick Riordan,English,7 + 5 companion books + 4 spin-off series,2005–present,180 million[207]
The Baby-sitters Club,Ann Martin,English,335,1986–present,172 million[208]
Twilight,Stephenie Meyer,English,4 + 2 companion books + 1 novella,2005–2020,160 million[209]
Star Wars,Various authors,English,over 300,1977–present,160 million[210]
Little Critter,Mercer Mayer,English,over 200,1975–present,150 million[211]
Peter Rabbit,Beatrix Potter,English,6,1902–1930,150 million[212]
Fifty Shades,E. L. James,English,3,2011–2015,150 million[213]
American Girl,Various authors,English,141 + spin-off series,1986–present,160 million[214]
Chicken Soup for the Soul,"Jack Canfield, Mark Victor Hansen",English,105,1997–present,130 million[215]
Clifford the Big Red Dog,Norman Bridwell,English,over 80[216],1963–2014,129 million[217]
Frank Merriwell,Gilbert Patten,English,209,1896–1936,125 million[218]
Dirk Pitt,Clive Cussler,English,24,1973–present,120 million[219]
宮本武蔵 (Musashi),Eiji Yoshikawa,Japanese,7,1935–1939,120 million[220]
The Chronicles of Narnia,C. S. Lewis,English,7,1950–1956,120 million[221]
Mr. Men,"Roger Hargreaves, Adam Hargreaves",English,43,1971–present,120 million[222]
SAS,Gérard de Villiers,French,200,1965–2013,120 million[223][224]
The Hunger Games,Suzanne Collins,English,4,2008–present,100 million[225]
James Bond,Ian Fleming,English,14,1953–1966,100 million[226]
Martine,"Gilbert Delahaye, Marcel Marlier",French,60,1954–2014,100 million[227]
Millennium,"Stieg Larsson, David Lagercrantz",Swedish,6,2005–present,100 million[228]
A Song of Ice and Fire,George R. R. Martin,English,5 + 3 novellas + 1 guide,1996–present,90 million[229]
The Wheel of Time,"Robert Jordan, Brandon Sanderson",English,15,1990–2013,90 million[230]
Discworld,Terry Pratchett,English,42,1983–2015,90 million[231]
Nijntje (Miffy),Dick Bruna,Dutch,119,1955–present,85 million[232]
Alex Cross,James Patterson,English,21,1993–present,81 million[233]
Anpanman (アンパンマン),Takashi Yanase,Japanese,150 picture books,1973–2013,80 million[234]
Captain Underpants,Dav Pilkey,English,12 plus spinoffs,1997–2015,80 million[235]
Fear Street,R. L. Stine,English,114,1989–present,80 million[236]
Pippi Långstrump (Pippi Longstocking),Astrid Lindgren,Swedish,3 + 3 picture books,1945–2001,80 million[237]
The Vampire Chronicles,Anne Rice,English,13,1976–2021,80 million[238]
OSS 117,Jean Bruce,French,265,1949–1992,75 million[239]
Winnie-the-Pooh,A. A. Milne; illustrated by E. H. Shepard,English,2,1926–1928,70 million[240]
Magic Tree House series,Mary Pope Osborne,English,56[241],1992–present,70 million[242]
Left Behind,"Tim LaHaye, Jerry B. Jenkins",English,16,1996–2007,65 million[243]
A Series of Unfortunate Events,Lemony Snicket aka Daniel Handler,English,13,1999–2006,65 million[244]
Little House on the Prairie,Laura Ingalls Wilder,English,12,1932–2006,60 million[245]
All Creatures Great and Small,"Alf Wight, as James Herriot",English,8,1970–1992,60 million[246]
Jack Reacher,Lee Child,English,29 Novels + 21 Short Stories,1997–present,60 million[247]
The Magic School Bus,"Joanna Cole, illustrated by Bruce Degen",English,131,1986–2010,58 million[248]
Where's Wally?249,Martin Handford,English,13,1987–present,55 million[250]
"Men Are from Mars, Women Are from Venus",John Gray,English,15,1992–present,50 million[251]
The Hardy Boys,Various authors as Franklin W. Dixon,English,190,1927–present,50 million[252]
The Bobbsey Twins,Various authors as Laura Lee Hope,English,72,1904–1979,50 million[253]
Tarzan,Edgar Rice Burroughs,English,26,1914–1995,50 million[254]
The Shadowhunter Chronicles,Cassandra Clare,English,14 + 8 companion books,2007–present,50 million[255]
Earth's Children,Jean M. Auel,English,6,1980–2011,45 million[256]
A Child's First Library of Learning,Various authors,English,29,1980–,45 million[257]
Junie B. Jones,Barbara Park,English,30,1992–2013,44 million[258]
Harry Bosch,Michael Connelly,English,15,1992–,42 million[259]
Harry Hole,Jo Nesbø,Norwegian,13,1997–present,40 million[260]
Warriors,Erin Hunter,English,78,2003–present,40 million[261]
连环画 铁道游击队 (Picture-and-story book Railway Guerilla),original author: Liu Zhixia [zh],Chinese,10,1955–1962,36.52 million[262]
かいけつゾロリ (Kaiketsu Zorori),Yutaka Hara,Japanese,60,1987–present,35 million[263]
Paddington Bear,Michael Bond,English,70,1958–present,35 million[264]
Animorphs,K A Applegate and ghostwriters,English,54,1996-2001,35 million[265]
Divergent trilogy,Veronica Roth,English,3 + 1 companion book,2011–2013,35 million[266]
ノンタン (Nontan),Sachiko Kiyono,Japanese,40,1976–2016,33.6 million[267]
グイン・サーガ (Guin Saga),"Kaoru Kurimoto, Yu Godai",Japanese,149,1979–2024,33 million[268]
The Inheritance Cycle,Christopher Paolini,English,5 + 1 companion book,2002–2023,33 million[269]
"Rich Dad, Poor Dad","Robert Kiyosaki, Sharon Lechter",English,18,1997–,32 million[270]
とある魔術の禁書目録 (Toaru Majutsu no Index),Kazuma Kamachi,Japanese,46,2004–,30 million[271]
徳川家康 ja (Tokugawa Ieyasu),Sōhachi Yamaoka,Japanese,26,1950–1967,30 million[272]
Ramona,Beverly Cleary,English,8,1955–1999,30 million[273]
The Dark Tower,Stephen King,English,8,1982–2012,30 million[274]
Dork Diaries,Rachel Renée Russell,English,15,2009–2018,30 million[275]
The Destroyer,"Warren Murphy and Richard Sapir, various authors",English,150,1971–present,30 million[276]
地球往事 (Remembrance of Earth's Past),Liu Cixin,Chinese,3,2008–2010,29 million[277]
三毛猫ホームズシリーズ ja (Calico Cat Holmes series),Jirō Akagawa,Japanese,43,1978–present,28 million[278]
Curious George,Hans Augusto Rey and Margret Rey,English,58,1941–present,27 million[279]
Shannara,Terry Brooks,English,20,1977–present,26 million[280]
Kurt Wallander,Henning Mankell,Swedish,10,1991–2002,25 million[281]
Sagan om Isfolket (The Legend of the Ice People),Margit Sandemo,Swedish,47,1982–1989,25 million[282]
The Sword of Truth,Terry Goodkind,English,21,1998–present,25 million[283]
Outlander,Diana Gabaldon,English,8,1991–present,25 million[284]
ズッコケ三人組 ja (Zukkoke Sanningumi),Masamoto Nasu,Japanese,50,1978–2004,25 million[285]
鬼平犯科帳 (Onihei Hankachō),Shōtarō Ikenami,Japanese,24,1968–1990,"24.4 million, only bunkobon[286]"
Brain Quest,Various authors,English,,1992–present,23.7 million[287]
South Beach Diet,Arthur Agatston,English,6,2003–present,22 million[288]
ソードアート・オンライン (Sword Art Online),Reki Kawahara,Japanese,27,2009–present,30 million[289]
竜馬がゆく ja (Ryoma ga Yuku),Ryōtarō Shiba,Japanese,5,1963–1966,21.5 million[290]
Artemis Fowl,Eoin Colfer,English,8 + 1 companion book,2001–2012,21 million[291]
The Cosmere,Brandon Sanderson,English,30+[292],2005–present,21 Million [293]
Dune series,Frank Herbert,English,30+,1965,20 million[121]
I Survived,Lauren Tarshis,English,25,2010–2020,more than 20 million[294][295]
Découvertes Gallimard,Various authors,French,more than 700,1986–present,more than 20 million[296][297]
Redwall,Brian Jacques,English,22,1986–2011,20 million[298]
Maisy,Lucy Cousins,English,23,1990–present,20 million[135]
Dragonlance,Various authors,English,more than 150,1984–present,20 million[299]
幻魔大戦 (Genma Taisen),Kazumasa Hirai,Japanese,20,1979–1983,20 million[300]
青春の門 (The Gate of Youth),Hiroyuki Itsuki,Japanese,,1970–present,20 million[301]
スレイヤーズ (Slayers),Hajime Kanzaka,Japanese,50,1989–present,20 million[302]
The Foundation Trilogy,Isaac Asimov,English,3[303],1950–1953,20 million[304]
Horrible Histories,Terry Deary,English,24,1993–present,20 million[305]
Rainbow Magic,Daisy Meadows,English,80+,2003–present,20 million[306]
Morgan Kane,Louis Masterson,Norwegian,90,1966–,20 million[307]
The Southern Vampire Mysteries,Charlaine Harris,English,13,2001–2013,20 million[308]
Doc Savage,"Lester Dent, various authors",English,203,1933–present,20 million[309]
涼宮ハルヒシリーズ (Haruhi Suzumiya Series),Nagaru Tanigawa,Japanese,11,2003–present,20 million[310]
一億人の昭和史 (1-oku nin no Shōwa shi / Shōwa History of 100 million people),"Tomiyasu Takahara, Various authors",Japanese,95,1975-1980,19 million[311]
科学のアルバム (Kagaku no album / Science's Album),Various authors,Japanese,,1970–present,19 million[312]
剣客商売 (Kenkaku Shōbai),Shotaro Ikenami,Japanese,18,1972–1989,18 million[313]
Erast Fandorin series,Boris Akunin,Russian,12,1998–present,18 million[314]
Dragonriders of Pern,Anne McCaffrey,English,23,1967–present,18 million[315]
吸血鬼ハンターD (Vampire Hunter D),Hideyuki Kikuchi,Japanese,39,1983–present,17 million[316]
The Hitchhiker's Guide to the Galaxy,"Douglas Adams, plus a final book by Eoin Colfer",English,6,1979–2008,16 million[317][318]
ぼくらシリーズ ja (Bokura series),Osamu Soda,Japanese,36,1985–present,15 million[319]
Bridget Jones,Helen Fielding,English,3,1996–present,15 million[320]
His Dark Materials,Philip Pullman,English,3,1995–2000,15 million[321]
銀河英雄伝説 (Legend of the Galactic Heroes),Yoshiki Tanaka,Japanese,14,1982–1989,15 million[322]
The No. 1 Ladies Detective Agency,Alexander McCall Smith,English,23,1999–present,15 million[323]
Der Regenbogenfisch (Rainbow Fish),Marcus Pfister,German,,1992–present,15 million[324]
The Riftwar Cycle,Raymond E. Feist,English,25,1982–present,15 million[325]
The Thrawn trilogy,Timothy Zahn,English,3,1991–93,15 million[326]
Wiedźmin (The Witcher),Andrzej Sapkowski,Polish,9,1990–2013,15 million[327]
14ひきのシリーズ ja (The family of fourteen),Kazuo Iwamura [ja],Japanese,,1983–present,15 million[328]
